method,node,events,requested,allowed,blocked
ACO,Stair_L7_1,33,97.0,37.0,60.0
ACO,Stair_L18_2,5,11.0,5.0,6.0
ACO,VN_L7_Corner_2,78,227.0,114.0,113.0
ACO,Escalator_L2_down1,10,20.0,5.0,15.0
ACO,VN_L18_Exit17_Entrance,8,43.0,33.0,10.0
ACO,Escalator_L7_up1,28,64.0,24.0,40.0
ACO,Stair_L7_3,15,37.0,15.0,22.0
ACO,Stair_L2_3,3,7.0,3.0,4.0
ACO,Stair_L16_1,2,4.0,1.0,3.0
ACO,Escalator_L16_down1,3,7.0,2.0,5.0
ACO,Escalator_L18_down3,5,11.0,4.0,7.0
ACO,Escalator_L18_up5,6,12.0,3.0,9.0
ACO,Stair_L16_2,1,2.0,0.0,2.0
ACO,Escalator_L2_up1,5,10.0,4.0,6.0
ACO,Stair_L7_2,11,23.0,10.0,13.0
ACO,Escalator_L18_down1,2,4.0,1.0,3.0
ACO,Escalator_L7_down1,8,16.0,4.0,12.0
ACO,Escalator_L18_down4,1,2.0,0.0,2.0
ACO,Escalator_L18_up4,5,10.0,3.0,7.0
ACO,Escalator_L18_up2,1,2.0,0.0,2.0
ACO,Escalator_L18_up6,2,4.0,1.0,3.0
ACO,Escalator_L18_up3,3,6.0,1.0,5.0
ACO,Escalator_L18_down2,3,6.0,2.0,4.0
ACO,Gate_L7_N_Mid,28,66.0,14.0,52.0
ACO,Gate_L2_N_West,15,42.0,19.0,23.0
ACO,Gate_L16_N1,2,4.0,2.0,2.0
ACO,Gate_L16_N2,1,2.0,1.0,1.0
ACO,Gate_L7_N_East,30,69.0,20.0,49.0
ACO,Gate_L2_S_West,3,10.0,6.0,4.0
ACO,Gate_L7_West_Vert,6,14.0,7.0,7.0
ACO,Gate_L7_N_West,19,41.0,9.0,32.0
ACO,Gate_L18_E1,27,91.0,56.0,35.0
ACO,Gate_L18_S2,3,9.0,6.0,3.0
ACO,Gate_L18_E2,1,3.0,1.0,2.0
ACO,VN_L7_Corner_1,1,5.0,4.0,1.0
ACO,Transfer_Mid_L18_F2_Right_Stair,1,2.0,0.0,2.0
ImprovedAStar,Stair_L18_2,10,26.0,13.0,13.0
ImprovedAStar,VN_L7_Corner_2,29,88.0,45.0,43.0
ImprovedAStar,Escalator_L7_up1,39,78.0,33.0,45.0
ImprovedAStar,Stair_L7_2,35,70.0,33.0,37.0
ImprovedAStar,Escalator_L2_down1,28,56.0,15.0,41.0
ImprovedAStar,Stair_L16_1,5,10.0,4.0,6.0
ImprovedAStar,Escalator_L16_down1,5,10.0,4.0,6.0
ImprovedAStar,Escalator_L16_up2,8,16.0,4.0,12.0
ImprovedAStar,Escalator_L16_up3,6,12.0,3.0,9.0
ImprovedAStar,Stair_L16_4,5,10.0,4.0,6.0
ImprovedAStar,Escalator_L18_up5,47,94.0,29.0,65.0
ImprovedAStar,VN_L18_Exit17_Entrance,8,43.0,33.0,10.0
ImprovedAStar,Escalator_L7_down1,12,24.0,6.0,18.0
ImprovedAStar,Escalator_L18_down4,19,38.0,18.0,20.0
ImprovedAStar,Stair_L7_3,25,62.0,31.0,31.0
ImprovedAStar,Gate_L7_West_Vert,68,210.0,84.0,126.0
ImprovedAStar,Gate_L2_N_West,43,115.0,57.0,58.0
ImprovedAStar,Gate_L16_N2,2,4.0,2.0,2.0
ImprovedAStar,Gate_L18_E1,17,51.0,34.0,17.0
ImprovedAStar,Gate_L7_N_West,60,120.0,30.0,90.0
ImprovedAStar,Stair_L2_3,28,80.0,40.0,40.0
ImprovedAStar,VN_L7_Corner_1,1,5.0,4.0,1.0
OurSinglePath,Stair_L7_3,34,86.0,43.0,43.0
OurSinglePath,Stair_L18_2,28,74.0,37.0,37.0
OurSinglePath,VN_L7_Corner_2,38,113.0,59.0,54.0
OurSinglePath,Stair_L7_2,37,74.0,35.0,39.0
OurSinglePath,Escalator_L2_down1,125,250.0,71.0,179.0
OurSinglePath,Stair_L16_1,5,10.0,4.0,6.0
OurSinglePath,Escalator_L16_down1,5,10.0,4.0,6.0
OurSinglePath,Escalator_L16_up2,8,16.0,4.0,12.0
OurSinglePath,Escalator_L16_up3,6,12.0,3.0,9.0
OurSinglePath,Escalator_L18_up5,45,90.0,28.0,62.0
OurSinglePath,VN_L18_Exit17_Entrance,8,43.0,33.0,10.0
OurSinglePath,Gate_L7_N_West,12,31.0,6.0,25.0
OurSinglePath,Escalator_L7_up1,3,6.0,2.0,4.0
OurSinglePath,Gate_L16_N2,2,4.0,2.0,2.0
OurSinglePath,Gate_L7_West_Vert,141,733.0,193.0,540.0
OurSinglePath,Gate_L18_E1,83,332.0,170.0,162.0
OurSinglePath,Gate_L7_N_East,1,2.0,0.0,2.0
