scenario_mode,scenario_label,algorithm,guidance_mode,exit_name,people,share
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L16_10,215.0,0.09830818472793781
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L16_11,182.0,0.08321902149062643
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L18_12,277.0,0.12665752171925013
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L18_13,0.0,0.0
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L18_17,189.0,0.08641975308641975
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L2_2,259.0,0.11842706904435299
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L2_3,244.0,0.11156835848193873
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L2_4,135.0,0.06172839506172839
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L2_6,138.0,0.06310013717421124
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L7_7,292.0,0.13351623228166437
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_L7_8/9,256.0,0.11705532693187014
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_Maglev_18,0.0,0.0
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_Maglev_19,0.0,0.0
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_Maglev_20,0.0,0.0
1,mode1_regular_emergency,AdaptiveSingleNextHop,PathfinderCompatible_TimeOriented,Exit_Maglev_21,0.0,0.0
