Scenario_Mode,Scenario_Label,Total_People,Method,Exit_Name,Profile_Line,Evacuated_People
2,Mode 2 - Upbound full train,10046,ACO,L7_8/9,L7,18.0
2,Mode 2 - Upbound full train,10046,ACO,L7_7,L2,217.0
2,Mode 2 - Upbound full train,10046,ACO,L7_7,L7,1933.0
2,Mode 2 - Upbound full train,10046,ACO,L2_2,L2,724.0
2,Mode 2 - Upbound full train,10046,ACO,L2_2,L7,169.0
2,Mode 2 - Upbound full train,10046,ACO,L2_6,L2,55.0
2,Mode 2 - Upbound full train,10046,ACO,L2_6,L16,21.0
2,Mode 2 - Upbound full train,10046,ACO,L2_4,L2,798.0
2,Mode 2 - Upbound full train,10046,ACO,L2_3,L2,1409.0
2,Mode 2 - Upbound full train,10046,ACO,L16_10,L16,1273.0
2,Mode 2 - Upbound full train,10046,ACO,L16_10,L18,188.0
2,Mode 2 - Upbound full train,10046,ACO,L16_11,L2,152.0
2,Mode 2 - Upbound full train,10046,ACO,L16_11,L16,14.0
2,Mode 2 - Upbound full train,10046,ACO,L18_12,L2,157.0
2,Mode 2 - Upbound full train,10046,ACO,L18_12,L16,6.0
2,Mode 2 - Upbound full train,10046,ACO,L18_12,L18,1271.0
2,Mode 2 - Upbound full train,10046,ACO,L18_17,L18,682.0
2,Mode 2 - Upbound full train,10046,ACO,Maglev_18,Maglev,384.0
2,Mode 2 - Upbound full train,10046,ACO,Maglev_19,Maglev,575.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L7_8/9,L2,49.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L7_8/9,L7,607.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L7_7,L2,168.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L7_7,L7,1116.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L2_2,L2,1050.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L2_2,L7,268.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L2_2,L16,8.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L2_2,L18,1.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L2_6,L2,161.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L2_6,L7,7.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L2_6,L16,56.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L2_6,L18,49.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L2_6,Maglev,5.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L2_4,L2,1275.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L2_4,L7,95.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L2_3,L2,498.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L2_3,L7,27.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L2_3,Maglev,4.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L16_10,L16,1205.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L16_10,L18,159.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L16_11,L2,154.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L16_11,L16,39.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L18_12,L2,116.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L18_12,L16,4.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L18_12,L18,647.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L18_13,L18,401.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L18_17,L2,41.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L18_17,L16,2.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,L18_17,L18,884.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,Maglev_18,Maglev,212.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,Maglev_19,Maglev,303.0
2,Mode 2 - Upbound full train,10046,ImprovedAStar,Maglev_20,Maglev,435.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L7_8/9,L2,81.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L7_8/9,L7,856.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L7_7,L2,136.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L7_7,L7,930.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L2_2,L2,879.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L2_2,L7,249.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L2_6,L2,96.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L2_6,L16,21.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L2_6,Maglev,54.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L2_4,L2,1362.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L2_4,L7,82.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L2_3,L2,649.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L2_3,L7,3.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L16_10,L16,976.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L16_10,L18,188.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L16_11,L2,152.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L16_11,L16,311.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L18_12,L2,112.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L18_12,L18,722.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L18_13,L2,13.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L18_13,L18,604.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L18_17,L2,32.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L18_17,L16,6.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,L18_17,L18,627.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,Maglev_18,Maglev,185.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,Maglev_19,Maglev,169.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,Maglev_20,Maglev,502.0
2,Mode 2 - Upbound full train,10046,AdaptiveSingleNextHop,Maglev_21,Maglev,49.0
