scenario_mode,scenario_label,total_people,method,time,avg_travel_time,queueing_time,moderate_congestion_exposure_time,severe_congestion_exposure_time,peak_density,avg_speed,wall_clock_runtime_s,exit_hhi,max_exit_share,active_exit_count
1,mode1_regular_emergency,2187,ACO,458.5,105.32136294771274,53410.0,30998.5,24554.5,22.857142857142858,1.1681186945495536,8.682674100156873,0.1391669065804106,0.2423411065386374,10
1,mode1_regular_emergency,2187,ImprovedAStar,350.0,95.47447709649634,48950.0,25836.0,18153.0,19.52380952380952,1.204619271828178,65.76406890014187,0.1270685634801312,0.1989026063100137,10
1,mode1_regular_emergency,2187,AdaptiveSingleNextHop,319.5,99.46144038407074,43807.5,24666.0,16971.5,19.047619047619047,1.1816879850752318,102.6876638000831,0.120164483608403,0.1801554641060813,10
2,mode2_upbound_full_train,10046,ACO,1206.5,87.80929641179365,1699159.0,1831412.5,1586617.5,308.57142857142856,1.0112873089431886,22.851032700156797,0.130890755401918,0.2140155285685845,12
2,mode2_upbound_full_train,10046,ImprovedAStar,647.5,115.50019146982056,595064.5,693431.5,410314.5,154.36893203883494,1.0456934637074429,788.837686400162,0.0981557699404558,0.1363726856460282,14
2,mode2_upbound_full_train,10046,AdaptiveSingleNextHop,666.5,107.69700792253256,513001.5,637580.5,383503.0,96.11650485436893,1.033762937407289,691.9588247998618,0.0914677215051654,0.14373880151304,15
3,mode3_downbound_full_train,10046,ACO,1206.5,87.41065058690533,1587960.0,1718454.5,1474122.0,308.57142857142856,1.0109462258687,24.16894569993019,0.1226031764930493,0.2140155285685845,12
3,mode3_downbound_full_train,10046,ImprovedAStar,645.0,114.52160514279348,605958.5,709718.5,432044.0,166.50485436893203,1.046191471377511,670.0163497000467,0.09049730982652,0.1333864224566991,14
3,mode3_downbound_full_train,10046,AdaptiveSingleNextHop,666.5,107.38363251180856,488654.0,612556.0,361173.5,96.11650485436893,1.0316771624270893,678.5762828001752,0.0900616471418415,0.1440374278319729,15
4,mode4_bidirectional_full_train,17905,ACO,2261.5,85.44662199285978,5358992.0,5683161.0,5216003.0,594.2857142857142,0.9980061986866102,36.98496060003527,0.1237892126843705,0.2105557106953365,13
4,mode4_bidirectional_full_train,17905,ImprovedAStar,853.5,115.69221857286624,1361677.5,1602490.0,1050220.5,187.63440860215053,1.0277453931857683,1611.907581700012,0.0909122419271838,0.1403518570231778,14
4,mode4_bidirectional_full_train,17905,AdaptiveSingleNextHop,979.5,111.40203539045716,1143993.5,1397740.5,862353.0,126.0964912280702,1.015401988890259,1284.065067900112,0.0913001528982472,0.1520245741413013,15
